Salary,Age,First_name,Last_name,email
3000,37,Sally,Morray,SallyMorray@outlook.com
2500,26,Tom,Henkins,TomnHenkins@outlook.com
4000,45,Stephiane,Davids,StephanieDavids@outlook.com
2500,25,Stephiane,hawkins,StephanieDavids@outlook.com
1540,20,Ella,holmes,EllaHomes@outlook.com
3600,36,Ali,kasi,AliKasi@outlook.com
1200,18,Harry,Maison,HarryMaison@outlook.com
2500,27,Stella,Fredericks,StellaFredricks@outlook.com
2500,28,Harris,Muhammad,HarrisMuhammad@outlook.com
3500,38,Liam,Smitt,Liamsmith@outlook.com
1000,19,Gar,Monny,GarryMonny@outlook.com
4500,47,Empress,Garry,EmpressGarry@outlook.com
2400,23,Sally,Steven,SallyStevens@outlook.com
6500,55,Ali,Yunus,AliYununs@outlook.com
4300,42,Govind,Murry,GovindMurray@outlook.com
2000,24,Lia,Stem,LiaStem@outlook.com
4000,44,Marry,rose,Marryrose@outlook.com
1300,20,Louis,kasi,LouisKasi@outlook.com
2300,26,shannon,Steve,ShannonSteve@outlook.com
2300,25,Ali,kasi,AliKasi@outlook.com
1200,19,Iver,Henry,IverHenry@outlook.com
3000,29,Mike,Stad,MikeStad@outlook.com
2000,25,Noman,kasi,Nomankasi@outlook.com
1400,18,Gerra,german,Gerragerman@outlook.com
3500,33,Manny,Hend,MannyHend@outlook.com
7000,49,NOA,Stallu,NOAStallu@outlook.com
2300,26,Noaht,james,Noahtjames@outlook.com
5000,45,Guru,peter,Gurupeter@outlook.com
5000,49,Pitrad,noams,Pitradnoams@outlook.com
6500,45,moiniy,Stella,moiniyStella@outlook.com
4300,44,Harry,Fred,HarryFred@outlook.com
2000,27,Mike,Tisom,MikeTisom@outlook.com
4000,34,Stevens,Freddy,StevensFreddy@outlook.com
1324,21,Noella,Huds,NoellaHuds@outlook.com
2341,28,Nigella,Lawso,NigellaLawso@outlook.com
2341,24,Delta,Morray,DeltaMorray@outlook.com
4321,38,Shirre,Pandas,ShirrePandas@outlook.com
2100,26,Marry,Iglay,MarryIglay@outlook.com
1000,18,Yusuf,sirrad,Yusufsirrad@outlook.com
1256,18,Harry,Miller,HarryMiller@outlook.com
2520,28,Stella,Martin,StellaMartin@outlook.com
2560,24,Harris,Muhammad,HarrisMuhammad@outlook.com
3570,32,Bella,Steve,BellaSteve@outlook.com
1000,17,Rusty,joe,Rusty@outlook.com
4321,43,Peter,Morray,PeterMorray@outlook.com
5200,50,JObbi,Hoola,JobbiHoola@outlook.com
3500,43,Times,Ray,TimesRay@outlook.com
4300,46,Yaqoob,Mulland,YaqoobMulland@outlook.com
2300,29,Terry,Boosty,TerryBoosty@outlook.com
